icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
1965,2/15/2022,No Updates,2022,ICSA-22-046-01,Schneider Electric IGSS,Schneider Electric,IGSS (Interactive Graphical SCADA System),Schneider Electric reports these vulnerabilities affect the following IGSS Data Server module: IGSS Data Server (IGSSdataServer.exe):  v15.0.0.22020 and prior,CVE-2022-24310; CVE-2022-24311; CVE-2022-24312; CVE-2022-24313; CVE-2022-24314; CVE-2022-24315; CVE-2022-24316; CVE-2022-24317,9.8,Critical,CWE-190; CWE-22; CWE-120; CWE-125; CWE-665; CWE-862,Commercial Facilities; Critical Manufacturing; Energy,Worldwide,France
1964,2/10/2022,No Updates,2022,ICSA-22-041-01,Siemens SIMATIC Industrial Products,Siemens,Siemens SIMATIC Industrial Products,"The following versions of Siemens Industrial Products with SIMATIC Firmware, a software platform, are affected: SIMATIC Drive Controller family: All versions prior to v2.9.4 SIMATIC ET 200SP Open Controller CPU 1515SP PC2 (incl. SIPLUS variants): All versions SIMATIC S7-1200 CPU family (incl. SIPLUS variants): Version 4.5.0 and all following versions prior to v4.5.2 SIMATIC S7-1500 CPU family (incl. related ET200 CPUs and SIPLUS variants): Version 2.9.2 and all following versions prior to v2.9.4 SIMATIC S7-1500 Software Controller: All versions SIMATIC S7-PLCSIM Advanced: All versions TIM 1531 IRC (incl. SIPLUS NET variants): Version 2.2 and all following versions.",CVE-2021-37185; CVE-2021-37204; CVE-2021-37205,7.5,High,CWE-401; CWE-672,Multiple Critical Sectors,Worldwide,Germany
1963,2/10/2022,No Updates,2022,ICSA-22-041-02,Siemens SIMATIC WinCC and PCS,Siemens,SIMATIC WinCC and PCS,Siemens reports these vulnerabilities affect the following SIMATIC products: SIMATIC PCS 7 v8.2 and earlier: All versions SIMATIC PCS 7 v9.0: All versions SIMATIC PCS 7 v9.1: All versions prior to v9.1 SP1 SIMATIC WinCC v7.4 and earlier: All versions SIMATIC WinCC v7.5: All versions prior to v7.5 Update 6 SIMATIC WinCC v15 and earlier: All versions SIMATIC WinCC v16: All versions prior to v16 Update 5 SIMATIC WinCC v17: All versions prior to v17 Update 2 SIMATIC WinCC v17: All versions since and including v17 Update 2.,CVE-2021-40360; CVE-2021-40363,6.3,Medium,CWE-200; CWE-538,Critical Manufacturing,Worldwide,Germany
1962,2/10/2022,No Updates,2022,ICSA-22-041-03,Siemens Simcenter Femap,Siemens,Simcenter Femap,"The following versions of Simcenter Femap, an advanced simulation application, are affected: Simcenter Femap v2020.2: All versions Simcenter Femap v2021.1: All versions.",CVE-2021-46151; CVE-2021-46152; CVE-2021-46153; CVE-2021-46154; CVE-2021-46155; CVE-2021-46156; CVE-2021-46157; CVE-2021-46158; CVE-2021-46159; CVE-2021-46160; CVE-2021-46161,7.8,High,CWE-119; CWE-121; CWE-787; CWE-843,Critical Manufacturing,Worldwide,Germany
1961,2/10/2022,No Updates,2022,ICSA-22-041-04,SINEMA Remote Connect Server,Siemens,SINEMA Remote Connect Server,"The following versions of SINEMA Remote Server, a management platform for remote networks, are affected: SINEMA Remote Connect Server: All versions prior to v2.0.",CVE-2022-23102,5.4,Medium,CWE-601,Multiple Critical Sectors,Worldwide,Germany
1960,2/10/2022,No Updates,2022,ICSA-22-041-05,SICAM TOOLBOX II,Siemens,SICAM TOOLBOX II,"The following versions of SICAM TOOLBOX II, a software platform, are affected: SICAM TOOLBOX II: All versions.",CVE-2021-45106,9.9,Critical,CWE-798,Multiple Critical Sectors,Worldwide,Germany
1959,2/10/2022,No Updates,2022,ICSA-22-041-06,Siemens Spectrum Power 4,Siemens,SINEMA Spectrum Power 4,The following versions of Siemens Spectrum Power 4 communications and data modeling software are affected: Siemens Spectrum Power 4: All versions prior to v4.70 SP9 Security Patch 1.,CVE-2022-23312,5.4,Medium,CWE-79,Multiple Critical Sectors,Worldwide,Germany
1958,2/10/2022,No Updates,2022,ICSA-22-013-05,Siemens COMOS Web,Siemens,COMOS,"The following versions of COMOS Web, a unified data platform, are affected: COMOS v10.2: All versions (only if web components are used) COMOS v10.3: All versions prior to v10.3.3.2.14 (only if web components are used) COMOS v10.4: All versions prior to v10.4.1 (only if web components are used).",CVE-2021-37194; CVE-2021-37195; CVE-2021-37196; CVE-2021-37197; CVE-2021-37198,8.8,High,CWE-23; CWE-352; CWE-434; CWE-80; CWE-89,Multiple Critical Sectors,Worldwide,Germany
1957,2/10/2022,No Updates,2021,ICSA-21-350-16,Siemens Healthineers syngo fastView,Siemens Healthineers (Subsidiary of Siemens),syngo fastView,"The following versions of syngo fastView, a software for digital imaging and communications, are affected: Syngo fastView: All versions.",CVE-2021-40367; CVE-2021-42028; CVE-2021-45465,7.8,High,CWE-123; CWE-787,Healthcare and Public Health,Worldwide,Germany
1956,2/10/2022,No Updates,2021,ICSA-21-315-03,Siemens SIMATIC WinCC,Siemens,SIMATIC WinCC,Siemens reports these vulnerabilities affects the following SIMATIC SCADA HMI system products: SIMATIC PCS 7 v8.2 and earlier: All versions SIMATIC PCS 7 v9.0: All versions SIMATIC PCS 7 v9.1: All versions prior to v9.1 SP1 SIMATIC WinCC v7.4 and earlier: All versions SIMATIC WinCC v7.5: All versions prior to v7.5 SP2 Update 5 SIMATIC WinCC v15 and earlier: All versions SIMATIC WinCC v16: All versions prior to v16 Update 5 SIMATIC WinCC v17: All versions prior to v17 Update 2.,CVE-2021-40358; CVE-2021-40359; CVE-2021-40364,9.9,Critical,CWE-22; CWE-532,Critical Manufacturing,Worldwide,Germany
