icsad_ID,hyperlink,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
808,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-355-01,12/21/2017,No Updates,2017,ICSA-17-355-01,Moxa NPort W2150A and W2250A,Moxa,NPort W2150A and W2250A,The following versions of NPort - serial network interface are affected: NPort W2150A Versions prior to 1.11 and NPort W2250A Versions prior to 1.11.,CVE-2017-16727,6.5,Medium,CWE-255,Critical Manufacturing; Energy; Transportation,Worldwide,Taiwan
807,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-355-02,12/21/2017,No Updates,2017,ICSA-17-355-02,Schneider Electric Pelco VideoXpert Enterprise,Schneider Electric,Pelco VideoXpert Enterprise,Schneider Electric reports that the vulnerabilities affect the following Pelco VideoXpert Enterprise products: Pelco VideoXpert Enterprise all versions prior to 2.1.,CVE-2017-9964; CVE-2017-9965; CVE-2017-9966,7.1,High,CWE-284; CWE-22,Commercial Facilities,Worldwide,France
806,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-353-01,12/19/2017,No Updates,2017,ICSA-17-353-01,ABB Ellipse,ABB,Ellipse,ABB reports that the vulnerability affects Ellipse 8.3 through Ellipse 8.9 released prior to December 2017 (including Ellipse Select).,CVE-2017-16731,6.5,Medium,CWE-523,Critical Manufacturing; Energy,Worldwide,Switzerland
805,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-353-02,12/19/2017,No Updates,2017,ICSA-17-353-02,PEPPERL+FUCHS/ecom instruments WLAN Capable Devices using the WPA2 Protocol,"PEPPERL+FUCHS, ecom instrument",WLAN Capable Devices using the WPA2 Protocol,PEPPERL+FUCHS/ecom instruments reports that these vulnerabilities affect all versions of the following WLAN capable devices using the WPA2 Protocol: Tab-Ex 01 | Ex-Handy 09 | Ex-Handy 209 | Smart-Ex 01 | Smart-Ex 201 | Pad-Ex 01 | i.roc Ci70-Ex | CK70A-ATEX | CK71A-ATEX | CN70A-ATEX and CN70E-ATEX.,CVE-2017-13077; CVE-2017-13078; CVE-2017-13079; CVE-2017-13080; CVE-2017-13081; CVE-2017-13082; CVE-2017-13086; CVE-2017-13087; CVE-2017-13088; CVE-2017-13077; CVE-2017-13078; CVE-2017-13079; CVE-2017-13080; CVE-2017-13081; CVE-2017-13082; CVE-2017-13086; CVE-2017-13087; CVE-2017-13088,8.1,High,CWE-323,Communications; Critical Manufacturing; Information Technology,Worldwide,Germany
804,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-353-03,12/19/2017,No Updates,2017,ICSA-17-353-03,Ecava IntegraXor,Ecava,IntegraXor,The following version of IntegraXor - web SCADA/HMI solution is affected: Ecava IntegraXor v 6.1.1030.1 and prior.,CVE-2017-16733; CVE-2017-16735,5.3,Medium,CWE-89,Critical Manufacturing; Energy; Water and Wastewater,Australia Canada Estonia United Kingdom Malaysia Poland United States,Malaysia
803,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-353-04,12/19/2017,No Updates,2017,ICSA-17-353-04,Siemens LOGO! Soft Comfort,Siemens,LOGO! Soft Comfort,Siemens reports that the vulnerability affects the following LOGO! Soft Comfort engineering software products: LOGO! Soft Comfort: All versions prior to V8.2.,CVE-2017-12740,5.9,Medium,CWE-494,Commercial Facilities; Transportation,Worldwide,Germany
802,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-353-05,12/19/2017,2/20/2018,2017,ICSA-17-353-05,"WECON Technology Co., Ltd. LeviStudio HMI Editor",WECON,"Technology Co., Ltd. LeviStudio HMI Editor",All versions of LeviStudio HMI an HMI editor are affected.,CVE-2017-16717,7.3,High,CWE-122,Critical Manufacturing; Energy; Water and Wastewater,Worldwide,China
801,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-341-01,12/7/2017,No Updates,2017,ICSA-17-341-01,Xiongmai Technology IP Cameras and DVRs,Xiongmai,Technology IP Cameras and DVRs,The following versions of Xiongmai Technology IP cameras and DVRs are affected: All IP Cameras and DVRs using the NetSurveillance Web interface.,CVE-2017-16725,9.8,Critical,CWE-121,Unknown,Worldwide,China
800,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-341-02,12/7/2017,No Updates,2017,ICSA-17-341-02,Rockwell Automation FactoryTalk Alarms and Events,Rockwell Automation,FactoryTalk Alarms and Events,The following versions of FactoryTalk Alarms and Events - component of the Factory Talk Services Platform are affected: FactoryTalk Alarms and Events | Version 2.90 and earlier FactoryTalk Alarms and Events is used in the following Rockwell Automation products: FactoryTalk Services (RSLinx Enterprise) all versions. FactoryTalk View SE | versions 5.00 and later. Studio 5000 Logix Designer | versions 24 and later.,CVE-2017-14022,7.5,High,CWE-20,Chemical; Critical Manufacturing; Food and Agriculture; Water and Wastewater,Worldwide,United States
799,https://www.cisa.gov/uscert/ics/advisories/ICSA-17-341-03,12/7/2017,No Updates,2017,ICSA-17-341-03,"PHOENIX CONTACT FL COMSERVER, FL COM SERVER, and PSI-MODEM/ETH",PHOENIX CONTACT,"FL COMSERVER, FL COM SERVER, and PSI-MODEM/ETH",The following models running firmware versions prior to 1.99 | 2.20 or 2.40 of FL COMSERVER | FL COM SERVER and PSI-MODEM/ETH | industrial networking equipment are affected: FL COMSERVER BASIC 232/422/485 | FL COMSERVER UNI 232/422/485 | FL COMSERVER BAS 232/422/485-T | FL COMSERVER UNI 232/422/485-T | FL COM SERVER RS232 | FL COM SERVER RS485 and PSI-MODEM/ETH.,CVE-2017-16723,8.2,High,CWE-79,Communications; Critical Manufacturing; Information Technology,Worldwide,Germany
